,Version,Category,RFC Link,Docs,Notes,,
    'first-class callable ($s = strlen(...) == fn ($str) => strlen($str))',8.1,,https://wiki.php.net/rfc/first_class_callable_syntax,,,,
    'A&B&C intersection types',8.1,Type System,https://wiki.php.net/rfc/pure-intersection-types,,,,
return never,8.1,Type System,https://wiki.php.net/rfc/noreturn_type,,,,
    'new in initializers (__construct(?Foo = new Foo())',8.1,,https://wiki.php.net/rfc/new_in_initializers,,,,
    'readonly properties',8.1,,https://wiki.php.net/rfc/readonly_properties_v2,,,,
    'final class constants',8.1,,https://wiki.php.net/rfc/final_class_const,,,,
array_is_list,8.1,New function,https://wiki.php.net/rfc/is_list,,,,
$GLOBALS restrictions,8.1,Deprecation/BC,https://wiki.php.net/rfc/restrict_globals_usage,,,,
Internal method return types,8.1,Type System+BC,https://wiki.php.net/rfc/internal_method_return_types,,,,
,,,,,,,
// 8.2,,,,,,,
    '#[SensitiveParameters]',8.2,New Attribute,https://wiki.php.net/rfc/redact_parameters_in_back_traces,,,,
[AllowDynamicProperties],8.2,New Attribute,https://wiki.php.net/rfc/deprecate_dynamic_properties,,,,
    'enum reads in const expressions',8.2,,https://wiki.php.net/rfc/fetch_property_in_const_expressions,,,,
standalone true type,8.2,Type System,https://wiki.php.net/rfc/true-type,,,,
standalone null+false types,8.2,Type System,https://wiki.php.net/rfc/null-false-standalone-types,, // semi-present before? now allowed outside of union,,
    'DNF ((A&B)|C)',8.2,Type System,https://wiki.php.net/rfc/dnf_types,,,,
    'constants in traits',8.2,,https://wiki.php.net/rfc/constants_in_traits,,,,
    'readonly classes',8.2,,https://wiki.php.net/rfc/readonly_classes,,,,
